Coverage report: 40%
Show keyboard shortcuts
filter...
Hide keyboard shortcuts
Hot-keys on this page

n s m x c   change column sorting

Module	statements	missing	excluded	coverage
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/webkitgtk/service.py	9	4	0	56%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/webkitgtk/webdriver.py	23	15	0	35%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/__init__.py	126	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/dialects/__init__.py	35	17	0	51%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/dialects/sqlite/__init__.py	21	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/dialects/sqlite/base.py	621	405	0	35%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/dialects/sqlite/json.py	30	20	0	33%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/dialects/sqlite/pysqlcipher.py	34	21	0	38%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/dialects/sqlite/pysqlite.py	84	40	0	52%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/engine/__init__.py	37	5	0	86%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/engine/base.py	766	426	0	44%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/engine/default.py	725	364	0	50%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/engine/interfaces.py	158	60	0	62%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/engine/reflection.py	271	226	0	17%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/engine/result.py	578	378	0	35%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/engine/strategies.py	154	54	0	65%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/engine/threadlocal.py	82	56	0	32%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/engine/url.py	135	69	0	49%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/engine/util.py	33	28	0	15%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/event/__init__.py	10	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/event/api.py	25	3	0	88%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/event/attr.py	236	80	0	66%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/event/base.py	131	22	0	83%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/event/legacy.py	56	18	0	68%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/event/registry.py	136	59	0	57%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/events.py	107	24	0	78%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/exc.py	166	85	0	49%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/ext/__init__.py	2	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/ext/baked.py	264	197	0	25%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/ext/declarative/__init__.py	12	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/ext/declarative/api.py	186	104	0	44%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/ext/declarative/base.py	416	168	0	60%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/ext/declarative/clsregistry.py	211	88	0	58%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/inspection.py	29	2	0	93%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/interfaces.py	82	59	0	28%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/log.py	79	33	0	58%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/__init__.py	116	24	0	79%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/attributes.py	732	428	0	42%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/base.py	159	57	0	64%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/collections.py	681	380	0	44%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/dependency.py	496	356	0	28%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/deprecated_interfaces.py	91	53	0	42%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/descriptor_props.py	278	217	0	22%
